SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,TOTAL PASSED CANDIDATES,GPA
s0692,30,30,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,30,2.6944
s0693,,,,,,,,,
s0694,170,170,,,,,,170,2.8490
s0695,,,,,,,,,
s0696,,,,,,,,,
s0697,58,57,,,,,,57,2.5965
s0698,21,21,,,,,,21,3.3175
s0699,,,,,,,,,
s0700,,,,,,,,,
s0701,,,,,,,,,
s0702,43,43,,,,,,43,2.7674
s0703,,,,,,,,,
s0704,,,,,,,,,
s0705,51,51,,,,,,51,2.9183
s0706,135,134,,,,,,134,2.2251
s0707,159,159,,,,,,159,2.6059
s0708,102,102,,,,,,102,3.1013
s0709,161,161,,,,,,161,2.7971
s0710,134,131,,,,,,131,2.7150
s0711,49,49,,,,,,49,2.4558
s0712,167,165,,,,,,165,2.3929
s0713,145,144,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,144,1.6725
s0714,,,,,,,,,
s0715,249,249,,,,,,249,2.4933
s0716,9,9,,,,,,9,3.0185
s0717,,,,,,,,,
s0718,,,,,,,,,
s0719,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s0720,77,77,,,,,,77,2.1688
s0721,,,,,,,,,
s0722,,,,,,,,,
s0723,,,,,,,,,
s0724,,,,,,,,,
s0725,24,24,,,,,,24,2.9514
s0726,109,109,,,,,,109,2.2477
s0727,16,16,,,,,,16,2.2396
s0728,,,,,,,,,
s0729,61,61,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,61,1.9918
s0730,,,,,,,,,
s0731,71,71,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,71,2.1549
s0732,,,,,,,,,
s0733,,,,,,,,,
s0734,,,,,,,,,
s0735,,,,,,,,,
s0736,,,,,,,,,
s0737,,,,,,,,,
s0738,32,32,,,,,,32,2.2448
s0739,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,,
s0740,121,115,,,,,,107,2.8988
s0741,76,76,,,,,,76,2.8553
s0742,4,4,,,,,,4,2.1667
s0743,,,,,,,,,
s0744,168,168,,,,,,168,2.2212
s0745,,,,,,,,,
s0746,129,129,,,,,,129,2.3630
s0747,,,,,,,,,
s0748,46,45,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,45,2.8185
s0749,,,,,,,,,
s0750,83,83,,,,,,83,2.7068
s0751,230,230,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,230,2.2058
s0752,144,144,,,,,,144,2.0347
s0753,,,,,,,,,
s0754,119,119,,,,,,119,2.9342
s0755,,,,,,,,,
s0756,,,,,,,,,
s0757,125,124,,,,,,124,2.8293
s0758,,,,,,,,,
s0759,81,81,,,,,,81,2.7202
s0760,,,,,,,,,
s0761,,,,,,,,,
s0762,,,,,,,,,
s0763,,,,,,,,,
s0764,,,,,,,,,
s0765,80,78,,,,,,78,3.1303
s0766,141,140,,,,,,140,2.8214
s0767,,,,,,,,,
s0768,,,,,,,,,
s0769,216,215,,,,,,215,3.0419
s0770,228,228,,,,,,228,1.8531
s0771,17,17,,,,,,17,2.4706
s0772,,,,,,,,,
s0773,,,,,,,,,
s0774,146,145,,,,,,145,2.4069
s0775,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s0776,,,,,,,,,
s0777,,,,,,,,,
s0778,153,153,,,,,,153,2.0523
s0779,,,,,,,,,
s0780,,,,,,,,,
s0781,,,,,,,,,
s0782,173,173,,,,,,173,2.5549
s0783,,,,,,,,,
s0784,150,148,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,135,3.0420
s0785,,,,,,,,,
s0786,242,241,,,,,,241,2.0415
s0787,89,88,,,,,,88,2.5777
s0788,89,89,,,,,,89,2.0843
s0789,,,,,,,,,
s0790,,,,,,,,,
s0791,,,,,,,,,
s0792,70,70,,,,,,70,2.7595
s0793,,,,,,,,,
s0794,,,,,,,,,
s0795,,,,,,,,,
s0796,34,34,,,,,,34,2.9853
s0797,,,,,,,,,
s0798,143,141,,,,,,140,3.7624
s0799,45,45,,,,,,45,3.2407
s0800,89,89,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,89,2.7210
s0801,51,47,,,,,,47,3.1879
s0802,,,,,,,,,
s0803,,,,,,,,,
s0804,25,25,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,25,3.1200
s0805,,,,,,,,,
s0806,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,,
s0807,,,,,,,,,
s0808,,,,,,,,,
s0809,,,,,,,,,
s0810,,,,,,,,,
s0811,221,221,,,,,,221,2.8039
s0812,238,238,,,,,,238,2.4391
s0813,,,,,,,,,
s0814,,,,,,,,,
s0815,,,,,,,,,
s0816,,,,,,,,,
s0817,,,,,,,,,
s0818,203,203,,,,,,202,3.0132
s0819,,,,,,,,,
s0820,,,,,,,,,
s0821,94,94,,,,,,94,2.4379
s0822,,,,,,,,,
s0823,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,,
s0824,97,96,,,,,,96,2.0295
s0825,37,37,,,,,,37,2.7072
s0826,101,101,,,,,,101,2.3713
s0827,54,54,,,,,,54,2.4290
s0828,,,,,,,,,
s0829,,,,,,,,,
s0830,,,,,,,,,
s0831,123,123,,,,,,123,2.2398
s0832,61,60,,,,,,60,2.7944
s0833,55,53,,,,,,53,2.6069
s0834,,,,,,,,,
s0835,,,,,,,,,
s0836,,,,,,,,,
s0837,,,,,,,,,
s0838,,,,,,,,,
s0839,,,,,,,,,
s0840,126,126,,,,,,126,2.8069
s0841,242,242,,,,,,242,2.6832
s0842,,,,,,,,,
s0843,,,,,,,,,
s0844,,,,,,,,,
s0845,126,126,,,,,,126,2.3902
s0846,,,,,,,,,
s0847,,,,,,,,,
s0848,,,,,,,,,
s0849,,,,,,,,,
s0850,,,,,,,,,
s0851,164,164,,,,,,164,2.1565
s0852,,,,,,,,,
s0853,178,178,,,,,,178,2.7949
s0854,15,14,,,,,,14,1.7976
s0855,,,,,,,,,
s0856,,,,,,,,,
s0857,390,387,,,,,,387,2.9866
s0858,,,,,,,,,
s0859,118,118,,,,,,118,2.3037
s0860,,,,,,,,,
s0861,106,106,,,,,,106,3.1116
s0862,6,6,PRIVATE,GIRLS ONLY,BOARDING,,,6,2.3056
s0863,,,,,,,,,
s0864,,,,,,,,,
s0865,,,,,,,,,
s0866,,,,,,,,,
s0867,511,511,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,511,2.1712
s0868,,,,,,,,,
s0869,,,,,,,,,
s0870,372,363,,,,,,362,2.7744
s0871,,,,,,,,,
s0872,,,,,,,,,
s0873,,,,,,,,,
s0874,,,,,,,,,
s0875,,,,,,,,,
s0876,,,,,,,,,
s0877,,,,,,,,,
s0878,,,,,,,,,
s0879,,,,,,,,,
s0880,75,75,,,,,,75,2.9756
s0881,45,44,,,,,,44,2.4773
s0882,33,31,,,,,,31,2.7419
s0883,22,22,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,22,3.3712
s0884,132,125,,,,,,125,3.0200
s0885,114,114,,,,,,114,2.5980
s0886,,,,,,,,,
s0887,256,255,,,,,,255,3.3105
s0888,,,,,,,,,
s0889,,,,,,,,,
s0890,175,170,,,,,,170,2.9912
s0891,,,,,,,,,
s0892,,,,,,,,,
s0893,,,,,,,,,
s0894,,,,,,,,,
s0895,,,,,,,,,
s0896,24,24,,,,,,24,3.3819
s0897,,,,,,,,,
s0898,,,,,,,,,
s0899,,,,,,,,,
s0900,,,,,,,,,
s0901,87,86,,,,,,86,2.4516
s0902,,,,,,,,,
s0903,,,,,,,,,
s0904,87,84,,,,,,84,2.9325
s0905,,,,,,,,,
s0906,153,152,,,,,,152,2.1908
s0907,,,,,,,,,
s0908,,,,,,,,,
s0909,23,22,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,22,2.6742
s0910,,,,,,,,,
s0911,,,,,,,,,
s0912,155,151,,,,,,151,2.1788
s0913,177,177,,,,,,177,2.7702
s0914,,,,,,,,,
s0915,,,,,,,,,
s0916,,,,,,,,,
s0917,,,,,,,,,
s0918,,,,,,,,,
s0919,,,,,,,,,
s0920,,,,,,,,,
s0921,,,,,,,,,
s0922,114,114,,,,,,112,2.6116
s0923,,,,,,,,,
s0924,73,73,,,,,,73,2.5708
s0925,136,135,,,,,,135,2.6086
s0926,,,,,,,,,
s0927,101,101,GOVERNMENT,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,101,2.8383
s0928,,,,,,,,,
s0929,,,,,,,,,
s0930,,,,,,,,,
s0931,,,,,,,,,
s0932,,,,,,,,,
s0933,,,,,,,,,
s0934,,,,,,,,,
s0935,50,50,,,,,,50,2.4500
s0936,233,232,,,,,,232,2.2047
s0937,,,,,,,,,
s0938,111,110,,,,,,110,2.7955
s0939,,,,,,,,,
s0940,,,,,,,,,
s0941,,,,,,,,,
s0942,,,,,,,,,
s0943,,,,,,,,,
s0944,,,,,,,,,
s0945,,,,,,,,,
s0946,,,,,,,,,
s0947,60,60,,,,,,60,2.7389
s0948,54,54,GOVERNMENT,BOYS AND GIRLS,DAY,,,54,2.3148
s0949,141,140,,,,,,140,2.6071
s0950,,,,,,,,,
s0951,,,,,,,,,
s0952,,,,,,,,,
s0953,,,,,,,,,
s0954,61,61,,,,,,61,2.6749
s0955,,,,,,,,,
s0956,72,72,,,,,,72,2.7523
s0957,,,,,,,,,
s0958,,,,,,,,,
s0959,,,,,,,,,
s0960,412,412,GOVERNMENT,BOYS AND GIRLS,DAY,MIXED,COMBINED OA,408,3.1545
s0961,68,68,,,,,,68,2.2328
s0962,,,,,,,,,
s0963,,,,,,,,,
s0964,75,74,,,,,,74,2.8851
s0965,,,,,,,,,
s0966,,,,,,,,,
s0967,,,,,,,,,
s0968,106,106,,,,,,106,2.7830
s0969,,,,,,,,,
s0970,102,102,,,,,,102,2.4657
s0971,,,,,,,,,
s0972,24,24,,,,,,24,2.1875
s0973,,,,,,,,,
s0974,,,,,,,,,
s0975,,,,,,,,,
s0976,,,,,,,,,
s0977,,,,,,,,,
s0978,52,51,,,,,,51,2.1340
s0979,,,,,,,,,
s0980,,,,,,,,,
s0981,,,,,,,,,
s0982,,,,,,,,,
s0983,,,,,,,,,
s0984,62,60,,,,,,60,2.2667
s0985,,,,,,,,,
s0986,,,,,,,,,
s0987,,,,,,,,,
s0988,,,,,,,,,
s0989,24,24,,,,,,24,3.0486
s0990,,,,,,,,,
s0991,,,,,,,,,
s0992,,,,,,,,,
s0993,,,,,,,,,
s0994,,,,,,,,,
s0995,68,68,,,,,,68,2.1422
s0996,,,,,,,,,
s0997,,,,,,,,,
s0998,,,,,,,,,
s0999,,,,,,,,,
s1000,,,,,,,,,
s1001,,,,,,,,,
s1002,,,,,,,,,
s1003,,,,,,,,,
s1004,,,,,,,,,
s1005,,,,,,,,,
s1006,,,,,,,,,
s1007,,,,,,,,,
s1008,114,114,,,,,,114,2.4094
s1009,76,75,,,,,,75,2.3000
s1010,,,,,,,,,
s1011,78,78,,,,,,78,2.8184
s1012,,,,,,,,,
s1013,,,,,,,,,
s1014,,,,,,,,,
s1015,,,,,,,,,
s1016,,,,,,,,,
s1017,,,,,,,,,
s1018,,,,,,,,,
s1019,,,,,,,,,
s1020,,,,,,,,,
s1021,,,,,,,,,
s1022,,,,,,,,,
s1023,,,,,,,,,
s1024,,,,,,,,,
s1025,,,,,,,,,
s1026,,,,,,,,,
s1027,123,122,,,,,,122,3.1011
s1028,,,,,,,,,
s1029,,,,,,,,,
s1030,,,,,,,,,
s1031,,,,,,,,,
s1032,73,73,GOVERNMENT,BOYS ONLY,BOARDING,ARTS,ALEVEL ONLY,73,2.3014
s1033,122,120,,,,,,120,3.0847
s1034,104,104,,,,,,104,3.1651
s1035,,,,,,,,,
s1036,,,,,,,,,
s1037,,,,,,,,,
s1038,,,,,,,,,
s1039,,,,,,,,,
s1040,,,,,,,,,
s1041,,,,,,,,,
s1042,,,,,,,,,
s1043,166,165,,,,,,165,2.4495
s1044,,,,,,,,,
s1045,,,,,,,,,
s1046,,,,,,,,,
s1047,,,,,,,,,
s1048,,,,,,,,,
s1049,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s1050,,,,,,,,,
s1051,134,134,,,,,,134,2.8333
s1052,,,,,,,,,
s1053,105,105,,,,,,105,2.4444
s1054,,,,,,,,,
s1055,32,32,,,,,,32,2.2500
s1056,,,,,,,,,
s1057,,,,,,,,,
s1058,,,,,,,,,
s1059,,,,,,,,,
s1060,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1061,71,70,,,,,,70,3.2381
s1062,,,,,,,,,
s1063,38,37,,,,,,37,2.6306
s1064,,,,,,,,,
s1065,,,,,,,,,
s1066,,,,,,,,,
s1067,,,,,,,,,
s1068,107,107,,,,,,107,2.8863
s1069,48,48,,,,,,48,2.6285
s1070,,,,,,,,,
s1071,81,81,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,81,2.8560
s1072,24,24,,,,,,24,3.5972
s1073,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s1074,,,,,,,,,
s1075,,,,,,,,,
s1076,,,,,,,,,
s1077,128,126,,,,,,126,2.7844
s1078,,,,,,,,,
s1079,,,,,,,,,
s1080,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1081,,,,,,,,,
s1082,,,,,,,,,
s1083,,,,,,,,,
s1084,58,58,,,,,,58,2.8707
s1085,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1086,,,,,,,,,
s1087,,,,,,,,,
s1088,,,,,,,,,
s1089,,,,,,,,,
s1090,,,,,,,,,
s1091,,,,,,,,,
s1092,126,125,,,,,,124,2.8306
s1093,109,107,,,,,,107,2.6417
s1094,7,7,,,,,,7,2.5000
s1095,,,,,,,,,
s1096,,,,,,,,,
s1097,,,,,,,,,
s1098,117,117,,,,,,117,2.3604
s1099,128,126,,,,,,126,3.1561
s1100,,,,,,,,,
s1101,,,,,,,,,
s1102,,,,,,,,,
s1103,,,,,,,,,
s1104,133,133,,,,,,133,2.6591
s1105,,,,,,,,,
s1106,202,199,,,,,,199,2.6080
s1107,162,162,,,,,,162,2.2088
s1108,,,,,,,,,
s1109,,,,,,,,,
s1110,,,,,,,,,
s1111,,,,,,,,,
s1112,,,,,,,,,
s1113,,,,,,,,,
s1114,,,,,,,,,
s1115,,,,,,,,,
s1116,,,,,,,,,
s1117,,,,,,,,,
s1118,87,87,,,,,,87,2.3525
s1119,96,93,,,,,,93,2.3387
s1120,,,,,,,,,
s1121,,,,,,,,,
s1122,39,39,,,,,,39,2.9402
s1123,,,,,,,,,
s1124,,,,,,,,,
s1125,,,,,,,,,
s1126,57,57,,,,,,57,2.8275
s1127,72,71,,,,,,71,2.5915
s1128,,,,,,,,,
s1129,144,144,,,,,,144,2.2604
s1130,,,,,,,,,
s1131,,,,,,,,,
s1132,59,59,,,,,,59,2.5113
s1133,,,,,,,,,
s1134,,,,,,,,,
s1135,,,,,,,,,
s1136,242,242,,,,,,242,1.8258
s1137,,,,,,,,,
s1138,,,,,,,,,
s1139,88,87,,,,,,87,2.1935
s1140,80,80,,,,,,80,2.6604
s1141,2,2,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,2,2.6667
s1142,,,,,,,,,
s1143,,,,,,,,,
s1144,180,179,,,,,,179,2.5866
s1145,,,,,,,,,
s1146,,,,,,,,,
s1147,,,,,,,,,
s1148,121,121,,,,,,121,2.4298
s1149,,,,,,,,,
s1150,,,,,,,,,
s1151,,,,,,,,,
s1152,,,,,,,,,
s1153,99,99,,,,,,99,2.4175
s1154,,,,,,,,,
s1155,123,123,,,,,,123,2.6206
s1156,,,,,,,,,
s1157,137,137,,,,,,137,2.5961
s1158,,,,,,,,,
s1159,163,162,,,,,,162,2.0412
s1160,177,177,,,,,,177,2.6864
s1161,171,163,,,,,,163,3.1319
s1162,,,,,,,,,
s1163,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1164,129,129,,,,,,129,2.7946
s1165,,,,,,,,,
s1166,,,,,,,,,
s1167,,,,,,,,,
s1168,,,,,,,,,
s1169,,,,,,,,,
s1170,,,,,,,,,
s1171,,,,,,,,,
s1172,,,,,,,,,
s1173,,,,,,,,,
s1174,49,49,,,,,,49,2.3061
s1175,,,,,,,,,
s1176,,,,,,,,,
s1177,,,,,,,,,
s1178,,,,,,,,,
s1179,,,,,,,,,
s1180,,,,,,,,,
s1181,,,,,,,,,
s1182,,,,,,,,,
s1183,95,94,,,,,,94,2.9415
s1184,,,,,,,,,
s1185,,,PRIVATE,BOYS AND GIRLS,DAY,,,,
s1186,109,109,,,,,,109,3.1269
s1187,281,280,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,280,2.7411
s1188,,,,,,,,,
s1189,,,,,,,,,
s1190,,,,,,,,,
s1191,,,,,,,,,
s1192,,,,,,,,,
s1193,,,,,,,,,
s1194,,,,,,,,,
s1195,,,,,,,,,
s1196,,,,,,,,,
s1197,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,,
s1198,17,17,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,17,2.4314
s1199,139,139,,,,,,139,2.8489
s1200,,,,,,,,,
s1201,461,459,,,,,,459,2.6830
s1202,38,38,,,,,,38,2.3991
s1203,,,,,,,,,
s1204,,,,,,,,,
s1205,80,80,,,,,,80,2.5771
s1206,,,,,,,,,
s1207,,,,,,,,,
s1208,,,,,,,,,
s1209,,,,,,,,,
s1210,,,,,,,,,
s1211,,,,,,,,,
s1212,,,,,,,,,
s1213,,,,,,,,,
s1214,,,,,,,,,
s1215,93,92,,,,,,92,2.1812
s1216,,,,,,,,,
s1217,,,,,,,,,
s1218,,,,,,,,,
s1219,,,,,,,,,
s1220,134,134,,,,,,134,2.6530
s1221,,,,,,,,,
s1222,,,,,,,,,
s1223,,,,,,,,,
s1224,,,,,,,,,
s1225,,,,,,,,,
s1226,,,,,,,,,
s1227,,,,,,,,,
s1228,,,,,,,,,
s1229,,,,,,,,,
s1230,,,,,,,,,
s1231,,,,,,,,,
s1232,67,66,,,,,,66,2.9545
s1233,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s1234,,,,,,,,,
s1235,,,,,,,,,
s1236,,,,,,,,,
s1237,,,,,,,,,
s1238,102,102,,,,,,102,2.4804
s1239,,,,,,,,,
s1240,141,141,,,,,,141,2.5355
s1241,216,216,,,,,,216,2.6944
s1242,,,,,,,,,
s1243,,,,,,,,,
s1244,,,,,,,,,
s1245,,,,,,,,,
s1246,26,26,,,,,,25,2.9423
s1247,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s1248,,,,,,,,,
s1249,,,,,,,,,
s1250,,,,,,,,,
s1251,125,122,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,122,1.8142
s1252,,,,,,,,,
s1253,,,,,,,,,
s1254,,,,,,,,,
s1255,109,109,,,,,,109,2.7966
s1256,,,,,,,,,
s1257,53,52,,,,,,52,2.5737
s1258,49,49,,,,,,49,2.5272
s1259,,,,,,,,,
s1260,,,,,,,,,
s1261,53,53,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,53,2.4528
s1262,151,150,,,,,,150,2.6411
s1263,,,,,,,,,
s1264,33,33,,,,,,33,2.8434
s1265,,,,,,,,,
s1266,,,,,,,,,
s1267,,,,,,,,,
s1268,125,124,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,124,1.4288
s1269,,,,,,,,,
s1270,138,138,,,,,,138,2.6473
s1271,,,,,,,,,
s1272,56,55,,,,,,55,2.4758
s1273,,,,,,,,,
s1274,75,75,,,,,,75,2.5267
s1275,,,,,,,,,
s1276,,,,,,,,,
s1277,,,,,,,,,
s1278,220,220,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,220,2.4250
s1279,,,,,,,,,
s1280,,,,,,,,,
s1281,,,,,,,,,
s1282,99,99,,,,,,99,2.6953
s1283,,,,,,,,,
s1284,15,14,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,14,2.7500
s1285,116,116,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,116,3.3089
s1286,,,,,,,,,
s1287,,,,,,,,,
s1288,113,113,,,,,,113,3.0605
s1289,,,,,,,,,
s1290,,,,,,,,,
s1291,22,22,,,,,,22,2.5455
s1292,,,,,,,,,
s1293,,,,,,,,,
s1294,7,7,,,,,,7,3.3095
s1295,,,,,,,,,
s1296,,,,,,,,,
s1297,,,,,,,,,
s1298,,,,,,,,,
s1299,,,,,,,,,
s1300,,,,,,,,,
s1301,,,,,,,,,
s1302,,,,,,,,,
s1303,,,,,,,,,
s1304,,,,,,,,,
s1305,,,,,,,,,
s1306,,,,,,,,,
s1307,,,,,,,,,
s1308,,,,,,,,,
s1309,,,,,,,,,
s1310,,,,,,,,,
s1311,,,,,,,,,
s1312,,,,,,,,,
s1313,,,,,,,,,
s1314,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s1315,51,51,,,,,,51,1.7320
s1316,,,,,,,,,
s1317,,,,,,,,,
s1318,84,84,,,,,,84,2.9841
s1319,,,,,,,,,
s1320,,,,,,,,,
s1321,,,,,,,,,
s1322,39,39,,,,,,39,2.6282
s1323,,,,,,,,,
s1324,74,73,,,,,,73,3.0046
s1325,,,,,,,,,
s1326,,,,,,,,,
s1327,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s1328,,,PRIVATE,BOYS AND GIRLS,BOARDING,ARTS,COMBINED OA,,
s1329,,,,,,,,,
s1330,,,,,,,,,
s1331,,,,,,,,,
s1332,,,,,,,,,
s1333,,,,,,,,,
s1334,,,,,,,,,
s1335,,,,,,,,,
s1336,,,,,,,,,
s1337,,,,,,,,,
s1338,123,122,,,,,,122,2.3224
s1339,4,4,,,,,,4,3.1250
s1340,144,142,,,,,,142,2.9002
s1341,81,81,,,,,,81,2.6481
s1342,,,,,,,,,
s1343,195,193,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,193,2.7504
s1344,105,105,,,,,,105,2.3524
s1345,,,,,,,,,
s1346,,,,,,,,,
s1347,,,,,,,,,
s1348,,,,,,,,,
s1349,342,342,,,,,,342,2.7763
s1350,,,,,,,,,
s1351,169,169,,,,,,169,2.7899
s1352,,,,,,,,,
s1353,57,57,,,,,,57,1.6813
s1354,,,,,,,,,
s1355,,,,,,,,,
s1356,54,54,,,,,,54,2.9599
s1357,,,,,,,,,
s1358,,,,,,,,,
s1359,,,,,,,,,
s1360,,,,,,,,,
s1361,189,187,,,,,,187,3.1488
s1362,,,,,,,,,
s1363,,,,,,,,,
s1364,,,,,,,,,
s1365,,,,,,,,,
s1366,77,77,,,,,,77,1.8463
s1367,,,,,,,,,
s1368,,,,,,,,,
s1369,,,,,,,,,
s1370,,,,,,,,,
s1371,,,,,,,,,
s1372,,,,,,,,,
s1373,98,98,,,,,,98,2.9082
s1374,,,,,,,,,
s1375,566,562,,,,,,562,2.6450
s1376,,,,,,,,,
s1377,,,,,,,,,
s1378,125,125,,,,,,124,3.8227
s1379,,,,,,,,,
s1380,148,144,,,,,,142,3.8356
s1381,,,,,,,,,
s1382,,,,,,,,,
s1383,30,30,,,,,,30,2.5222
s1384,71,71,,,,,,71,1.7864
s1385,,,,,,,,,
s1386,,,,,,,,,
s1387,,,,,,,,,
s1388,,,,,,,,,
s1389,,,,,,,,,
s1390,,,,,,,,,
s1391,,,,,,,,,
s1392,111,111,,,,,,111,1.8393
s1393,,,,,,,,,
s1394,,,,,,,,,
s1395,,,,,,,,,
s1396,,,,,,,,,
s1397,,,,,,,,,
s1398,,,,,,,,,
s1399,,,,,,,,,
s1400,,,,,,,,,
s1401,,,,,,,,,
s1402,43,43,,,,,,43,1.8915
s1403,,,,,,,,,
s1404,,,,,,,,,
s1405,,,,,,,,,
s1406,,,,,,,,,
s1407,,,,,,,,,
s1408,,,,,,,,,
s1409,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,,
s1410,93,92,,,,,,92,2.7681
s1411,120,120,,,,,,120,2.0667
s1412,,,,,,,,,
s1413,,,,,,,,,
s1414,,,,,,,,,
s1415,,,,,,,,,
s1416,,,,,,,,,
s1417,,,,,,,,,
s1418,73,73,,,,,,73,2.3242
s1419,,,,,,,,,
s1420,122,122,,,,,,122,2.8074
s1421,,,,,,,,,
s1422,,,,,,,,,
s1423,,,,,,,,,
s1424,,,,,,,,,
s1425,,,,,,,,,
s1426,,,,,,,,,
s1427,,,,,,,,,
s1428,,,,,,,,,
s1429,,,,,,,,,
s1430,158,158,,,,,,158,3.2890
s1431,,,,,,,,,
s1432,,,,,,,,,
s1433,21,20,,,,,,20,2.2250
s1434,13,13,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,13,3.0769
s1435,,,,,,,,,
s1436,,,,,,,,,
s1437,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1438,,,,,,,,,
s1439,,,,,,,,,
s1440,,,,,,,,,
s1441,,,,,,,,,
s1442,77,77,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,77,1.6342
s1443,,,,,,,,,
s1444,,,,,,,,,
s1445,,,,,,,,,
s1446,,,,,,,,,
s1447,,,,,,,,,
s1448,,,,,,,,,
s1449,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1450,46,45,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,45,2.4037
s1451,,,,,,,,,
s1452,,,,,,,,,
s1453,,,,,,,,,
s1454,113,111,,,,,,111,1.9489
s1455,,,,,,,,,
s1456,,,,,,,,,
s1457,,,,,,,,,
s1458,,,,,,,,,
s1459,,,,,,,,,
s1460,,,,,,,,,
s1461,,,,,,,,,
s1462,,,,,,,,,
s1463,67,65,,,,,,65,2.5667
s1464,,,,,,,,,
s1465,,,,,,,,,
s1466,87,81,,,,,,81,2.0576
s1467,,,,,,,,,
s1468,,,,,,,,,
s1469,7,7,,,,,,7,2.4048
s1470,,,,,,,,,
s1471,,,,,,,,,
s1472,,,,,,,,,
s1473,,,,,,,,,
s1474,32,32,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,32,2.6771
s1475,,,,,,,,,
s1476,,,,,,,,,
s1477,,,,,,,,,
s1478,,,,,,,,,
s1479,,,,,,,,,
s1480,,,,,,,,,
s1481,,,,,,,,,
s1482,86,86,,,,,,86,2.7984
s1483,,,,,,,,,
s1484,,,,,,,,,
s1485,,,,,,,,,
s1486,,,,,,,,,
s1487,,,,,,,,,
s1488,,,,,,,,,
s1489,,,,,,,,,
s1490,,,,,,,,,
s1491,,,,,,,,,
s1492,,,,,,,,,
s1493,,,,,,,,,
s1494,,,,,,,,,
s1495,23,23,,,,,,23,3.0725
s1496,,,,,,,,,
s1497,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
