school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s0947,DR. OLSEN SECONDARY SCHOOL,False,MANYARA,2.5513,,65.0,65.0,0.0,65.0,0.0,0.0,65.0,21.0,40.0,4.0,0.0,0.0,,,
s0643,DAREDA SECONDARY SCHOOL,False,MANYARA,1.8679,,130.0,130.0,0.0,130.0,0.0,0.0,130.0,115.0,14.0,1.0,0.0,0.0,,,
s6278,DKT. ALI MOHAMED SHEIN SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.9351,,239.0,240.0,1.0,239.0,0.0,0.0,239.0,37.0,138.0,64.0,0.0,0.0,,,
s5934,DR. SALIM AHMED SALIM SECONDARY SCHOOL,False,KUSINI PEMBA,2.6019,,36.0,37.0,0.0,37.0,1.0,0.0,36.0,11.0,22.0,3.0,0.0,0.0,,,
s3535,DEBRABANT SECONDARY SCHOOL,False,DAR ES SALAAM,3.5758,,11.0,11.0,0.0,11.0,0.0,0.0,11.0,1.0,3.0,5.0,2.0,0.0,,,
s0307,DODOMA CENTRAL SECONDARY SCHOOL,False,DODOMA,3.0,,1.0,18.0,0.0,18.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,
p0947,DR.OLSEN SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s2647,DENIS SECONDARY SCHOOL,False,MOROGORO,2.219,,35.0,35.0,0.0,35.0,0.0,0.0,35.0,22.0,13.0,0.0,0.0,0.0,,,
p0307,DODOMA CENTRAL SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s0106,DUNG'UNYI SEMINARY,False,SINGIDA,2.5,,4.0,4.0,0.0,4.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,,,
s0978,DIGODIGO SECONDARY SCHOOL,False,ARUSHA,1.7076,,57.0,58.0,0.0,58.0,1.0,0.0,57.0,55.0,2.0,0.0,0.0,0.0,,,
s0306,DODOMA SECONDARY SCHOOL,False,DODOMA,2.7302,,223.0,225.0,2.0,223.0,0.0,0.0,223.0,69.0,108.0,46.0,0.0,0.0,,,
s0970,DUTWA SECONDARY SCHOOL,False,SIMIYU,2.4627,,85.0,85.0,0.0,85.0,0.0,0.0,85.0,36.0,44.0,5.0,0.0,0.0,,,
s4236,DINOBB  HIGH SCHOOL,False,MBEYA,2.3944,,30.0,34.0,1.0,33.0,3.0,0.0,30.0,12.0,18.0,0.0,0.0,0.0,,,
p0306,DODOMA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s3097,DYNAMIC HIGH SCHOOL,False,DAR ES SALAAM,2.8889,,3.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,,,
p4236,DINOBB SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
p4036,EBONITE TC CENTRE,True,,,,,,,,,,,,,,,,,,
s0973,EINOTI SECONDARY SCHOOL,False,ARUSHA,1.9012,,27.0,27.0,0.0,27.0,0.0,0.0,27.0,24.0,3.0,0.0,0.0,0.0,,,
s0308,ENABOISHU SECONDARY SCHOOL,False,ARUSHA,2.1549,,71.0,71.0,0.0,71.0,0.0,0.0,71.0,48.0,23.0,0.0,0.0,0.0,810,50,16:1
s0698,ECKERNFORDE SECONDARY SCHOOL,False,TANGA,3.6667,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,
s5663,ELPAS SECONDARY SCHOOL,False,MWANZA,2.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
p0308,ENABOISHU SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s0629,EDMUND-RICE-SINON SECONDARY SCHOOL,False,ARUSHA,3.0472,,120.0,120.0,0.0,120.0,0.0,0.0,120.0,18.0,62.0,38.0,2.0,0.0,500,30,17:1
s5233,EMANUEL NCHIMBI SECONDARY SCHOOL,False,RUVUMA,1.8828,,101.0,101.0,0.0,101.0,0.0,0.0,101.0,90.0,11.0,0.0,0.0,0.0,,,
s0689,ENDASAK SECONDARY SCHOOL,False,MANYARA,2.1212,,143.0,144.0,1.0,143.0,0.0,0.0,143.0,95.0,43.0,5.0,0.0,0.0,,,
p0629,EDMUND-RICE-SINON SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
