school_code,prev_sat,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,prev_gpa,gpa,sat,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,student_teacher_ratio
s4921,51.0,,,,,,1.902,1.9611,30.0,,,,
s4922,18.0,,,,,,2.4444,2.5794,21.0,,,,
s4928,5.0,PRIVATE,BOYS ONLY,BOARDING,SCIENCE,COMBINED OA,3.4,3.2292,8.0,300.0,25.0,12:1,12.0
s4929,274.0,,,,,,2.7433,2.6872,252.0,,,,
s4933,3.0,,,,,,3.4444,2.6667,3.0,,,,
s4964,22.0,PRIVATE,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,1.9318,1.9359,13.0,520.0,31.0,17:1,16.774193548387096
s5000,59.0,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,2.8333,2.4016,61.0,400.0,35.0,11:1,11.428571428571429
s5014,24.0,,,,,,2.4653,2.2387,74.0,,,,
s5025,26.0,,,,,,3.0238,2.8111,34.0,,,,
s5038,47.0,,,,,,2.376,2.4778,75.0,,,,
s5047,166.0,,,,,,2.7811,2.9492,164.0,,,,
s5053,27.0,,,,,,1.8827,1.9133,25.0,,,,
s5060,22.0,,,,,,3.3182,2.56,25.0,,,,
s5096,95.0,,,,,,2.7421,2.6396,74.0,,,,
s5098,175.0,,,,,,2.4571,2.006,169.0,,,,
s5117,9.0,,,,,,3.0926,3.2727,11.0,,,,
s5126,102.0,,,,,,2.5082,2.8756,67.0,,,,
s5128,17.0,,,,,,2.8039,2.3725,17.0,,,,
s5130,39.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,1.9487,2.0583,40.0,180.0,15.0,12:1,12.0
s5145,211.0,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,ALEVEL ONLY,3.2678,2.7089,241.0,800.0,40.0,20:1,20.0
s5150,38.0,,,,,,3.2632,2.6396,75.0,,,,
s5151,101.0,,,,,,3.2013,2.7145,115.0,,,,
s5154,39.0,,,,,,2.0556,2.1923,65.0,,,,
s5159,11.0,,,,,,3.0,3.2222,15.0,,,,
s5164,45.0,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,2.2074,1.9125,40.0,450.0,35.0,13:1,12.857142857142858
s5171,69.0,,,,,,2.8744,3.0423,126.0,,,,
s5174,28.0,,,,,,2.4762,1.8819,24.0,,,,
s5184,52.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,2.2628,2.5497,104.0,600.0,45.0,13:1,13.333333333333334
s5196,47.0,,,,,,2.453,2.4935,53.0,,,,
s5204,49.0,,,,,,2.7075,2.7222,39.0,,,,
s5208,15.0,,,,,,2.6444,2.6894,22.0,,,,
s5232,14.0,,,,,,3.8095,2.9653,24.0,,,,
s5233,96.0,,,,,,2.0972,1.8828,101.0,,,,
s5236,39.0,,,,,,3.0812,2.6733,50.0,,,,
s5249,44.0,,,,,,2.5947,2.2381,42.0,,,,
s5260,103.0,,,,,,2.5275,2.2975,107.0,,,,
s5282,60.0,,,,,,2.5444,2.1667,83.0,,,,
s5295,30.0,,,,,,1.9333,1.9457,86.0,,,,
s5315,90.0,,,,,,1.7,1.638,122.0,,,,
s5325,74.0,,,,,,1.7387,1.8542,168.0,,,,
s5353,150.0,,,,,,2.3789,2.5534,131.0,,,,
